ID,Longitude,Latitude,Elevation_m,SoilDepth_m,Drainage,Permeability,pH,OrganicCarbon_pct,Management_Zone,Recommended_Rotation
80983,147.211122000852,-34.9498230492146,630.0,0.5,4.0,3.0,5.3,1.84,0,Oats - Lupin - Pasture
81119,146.019694810829,-34.9264116339671,121.0,0.5,2.0,1.0,4.4,2.31,0,Oats - Lupin - Pasture
101135,148.27269601,-36.54458447,1719.0,0.93,4.0,3.0,4.6,13.77,3,Wheat - Canola - Field Pea
101239,148.51896645,-35.810338,1390.0,0.65,5.0,4.0,4.9,9.45,3,Wheat - Canola - Field Pea
80974,147.210981704775,-34.950634867478,1390.0,0.5,4.0,3.0,4.6,8.795,3,Wheat - Canola - Field Pea
89280,150.412609951549,-35.1323877704849,220.0,0.6,4.0,3.0,4.3,8.14,0,Oats - Lupin - Pasture
81747,147.956623797463,-35.3355491682185,387.0,0.5,4.0,2.0,4.2,2.07,0,Oats - Lupin - Pasture
899+SSM+SSM28,146.9621734619,-34.1682815552,387.0,0.95,5.0,3.0,4.655,4.08,0,Oats - Lupin - Pasture
899+Morphology+CP323,152.5921020508,-30.3677825928,387.0,1.2,6.0,4.0,5.11,6.09,0,Oats - Lupin - Pasture
899+Morphology+CP314,151.8617095947,-32.7839508057,387.0,1.6,2.0,4.0,4.66,1.52,0,Oats - Lupin - Pasture
899+Morphology+CP317,151.3763122559,-33.5172271729,387.0,0.75,5.0,4.0,5.1,5.68,0,Oats - Lupin - Pasture
899+Morphology+CP332,152.8826751709,-31.0496482849,387.0,1.5,3.0,2.0,5.0,3.77,0,Oats - Lupin - Pasture
899+SSM+SSM13,148.7855682373,-33.7350921631,650.0,0.82,4.0,3.0,6.38,1.81,1,Durum Wheat - Lentil - Barley
899+Wagga_SLM+LS19,147.5219573975,-35.2233200073,650.0,1.0,4.0,3.0,6.5,1.46,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0059,148.2342376709,-35.7520904541,650.0,1.3,6.0,4.0,3.16,29.1,3,Wheat - Canola - Field Pea
899+SSM+SSM14,148.2342071533,-32.9878463745,650.0,0.9,4.0,3.0,5.37,1.94,0,Oats - Lupin - Pasture
899+BGM_FSS+0031,148.2647857666,-35.892616272,650.0,2.0,4.0,3.0,4.5,3.87,2,Barley - Chickpea - Wheat
82142,149.683091130407,-35.2811602982563,650.0,0.5,3.0,2.0,4.9,2.81,0,Oats - Lupin - Pasture
101229,148.58671754,-35.85678291,650.0,1.0,4.0,3.0,4.2,4.18,0,Oats - Lupin - Pasture
101405,148.59398107,-35.8080323,1372.0,0.55,2.0,3.0,4.0,6.88,3,Wheat - Canola - Field Pea
80968,147.27655709231,-34.9130265130939,234.0,0.5,4.0,3.0,4.9,1.13,0,Oats - Lupin - Pasture
81796,149.734394750737,-35.2580265452714,630.0,0.6,4.0,3.0,4.8,1.11,0,Oats - Lupin - Pasture
80971,147.088903668048,-34.9453299614711,200.0,0.5,4.0,3.0,5.2,0.83,0,Oats - Lupin - Pasture
101139,148.50315906,-36.3596407,1603.0,0.8,4.0,3.0,5.1,16.21,3,Wheat - Canola - Field Pea
89282,150.471430862169,-35.099150491779,40.0,0.8,3.0,3.0,4.3,1.51,0,Oats - Lupin - Pasture
80909,149.361790412938,-35.1735152925643,40.0,0.37,4.0,2.0,6.3,1.78,1,Durum Wheat - Lentil - Barley
89278,150.552958841047,-35.1317981166706,35.0,0.7,3.0,3.0,4.9,2.44,0,Oats - Lupin - Pasture
101174,148.54455023,-36.11297826,1690.0,0.35,4.0,3.0,5.8,12.66,3,Wheat - Canola - Field Pea
82069,149.684820536466,-34.9769485260897,1690.0,0.5,2.0,2.0,5.0,6.74,3,Wheat - Canola - Field Pea
89632,148.038859558205,-35.9445958154248,320.0,0.5,4.0,3.0,4.2,0.82,0,Oats - Lupin - Pasture
89283,150.482610320294,-35.0887193236216,20.0,0.9,5.0,4.0,4.5,1.9,0,Oats - Lupin - Pasture
101215,148.66445434,-35.74050973,20.0,0.7,4.0,3.0,5.5,4.07,0,Oats - Lupin - Pasture
89279,150.420878207013,-35.1186372745002,200.0,0.3,5.0,4.0,3.3,11.29,0,Oats - Lupin - Pasture
101147,148.40829201,-36.34728387,1504.0,0.6,4.0,3.0,4.8,11.69,3,Wheat - Canola - Field Pea
82297,148.720611337478,-36.410935633045,1176.0,0.7,5.0,1.0,5.4,1.01,3,Wheat - Canola - Field Pea
80967,147.26630687198,-34.8983057155149,250.0,0.5,4.0,3.0,5.7,2.24,0,Oats - Lupin - Pasture
101160,148.31921204,-36.49898859,1400.0,0.62,4.0,3.0,4.7,11.65,3,Wheat - Canola - Field Pea
80972,147.08918723307,-34.9442476512137,1400.0,0.5,4.0,3.0,5.1,1.17,3,Wheat - Canola - Field Pea
93153,148.804028986318,-35.3116999812544,1155.0,1.0,4.0,3.0,5.0,15.95,3,Wheat - Canola - Field Pea
89286,150.611474662133,-35.0416749789649,50.0,0.5,3.0,3.0,4.3,1.23,0,Oats - Lupin - Pasture
80975,147.182840632628,-34.9434033591636,50.0,0.5,4.0,3.0,4.7,1.15,0,Oats - Lupin - Pasture
82067,149.655445988781,-34.9290356367288,630.0,0.5,2.0,2.0,5.3,2.09,0,Oats - Lupin - Pasture
81799,149.734803264877,-35.2767115005132,630.0,0.5,3.0,2.0,4.4,1.05,0,Oats - Lupin - Pasture
82183,149.659489126188,-34.9464526563073,630.0,0.5,4.0,3.0,4.8,1.72,0,Oats - Lupin - Pasture
80969,147.179457543343,-34.9437781217603,244.0,0.5,3.0,3.0,6.2,1.57,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0088,148.2599182129,-35.6564559937,244.0,3.01,5.0,3.0,6.0600000000000005,1.295,2,Barley - Chickpea - Wheat
899+Wagga_SLM+BD48,147.3816986084,-35.0577659607,244.0,1.7,4.0,2.0,5.92,1.02,1,Durum Wheat - Lentil - Barley
80970,147.277199388907,-34.9119609806179,244.0,0.5,4.0,3.0,4.8,1.67,0,Oats - Lupin - Pasture
80906,149.367458921968,-35.1974734483423,244.0,0.6,4.0,2.0,5.2,5.41,0,Oats - Lupin - Pasture
82070,149.680436301375,-34.9822105114327,244.0,0.5,4.0,3.0,4.4,1.1,0,Oats - Lupin - Pasture
899+BGM_ESM+1027,148.1202087402,-35.7187042236,893.0,1.78,6.0,4.0,4.966666666666667,1.82,2,Barley - Chickpea - Wheat
899+BGM_ESM+1019,148.1249084473,-35.6779174805,893.0,4.01,5.0,3.0,5.533333333333333,2.54,2,Barley - Chickpea - Wheat
82184,149.657070398617,-34.9396909130198,893.0,0.5,5.0,3.0,6.1,3.26,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0040,148.2806243896,-35.8541870117,893.0,1.61,5.0,3.0,6.566666666666666,2.853333333333333,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0127,148.0966949463,-35.7134132385,893.0,1.36,5.0,4.0,7.033333333333333,2.4466666666666668,1,Durum Wheat - Lentil - Barley
